Business Segment,Department,Unit,Abbreviated Name,Source,Notes
Group Head Office,Group Sustainability,Conservation & Biodiversity,GHO_GS_CNB,Guthrie 22072026,
Group Head Office,"Group Integrity, Governance & Assurance",GCA IT & Analytics,GHO_GIGA_GCAIT_ANALYTICS,Guthrie 22072026,
Group Head Office,"Group Integrity, Governance & Assurance",Group Integrity & Governance Unit (GIG),GHO_GIGA_GIG,Guthrie 22072026,
Group Head Office,"Group Integrity, Governance & Assurance",Group Fraud & Corruption Risk Mgmt (GFCRM),GHO_GIGA_GRCRM,Guthrie 22072026,Client code reads GRCRM but the unit acronym is GFCRM - confirm
Group Head Office,"Group Integrity, Governance & Assurance",Practice Management (PM),GHO_GIGA_PM,Guthrie 22072026,
Group Head Office,"Group Integrity, Governance & Assurance","GCA UPMY, R&D & HO",GHO_GIGA_GCA_UPMY_RDHO,Guthrie 22072026,
Group Head Office,"Group Integrity, Governance & Assurance",GCA SDGI,GHO_GIGA_GCA_SDGI,Guthrie 22072026,
Group Head Office,Group Corporate Secretarial,Guthrie,GHO_COSEC_GUTHRIE,Guthrie 22072026,
Group Head Office,Group Corporate Secretarial,SDGI,GHO_COSEC_SDGI,Guthrie 22072026,
Minamas Head Office,CEO Office Administration,Expatriate Formalities,MHO_CEOOA_EXPATF,Client,
Minamas Head Office,CEO Office Administration,General Administration & Building Management,MHO_CEOOA_GABM,Client,
Minamas Head Office,Corporate Communication,Corporate Social Responsibility & Operations Comms,MHO_CEOOA_CSR_OPSCOMMS,Client,Prefix says CEOOA but department is Corporate Communication - confirm
Minamas Head Office,Corporate Communication,Internal & External Comms,MHO_INEXCOMMS,Client,Missing department segment in code - confirm
Minamas Head Office,Corporate Services,Government Relations,MHO_CS_GOVTREL,Client,
Minamas Head Office,Corporate Services,Land Regulation,MHO_CS_LANDREL,Client,
Minamas Head Office,Corporate Services,Licensing & Operation Security,MHO_CS_LOS,Client,
Minamas Head Office,Corporate Services,Minority Shareholder Relation,MHO_CS_MSR,Client,
Minamas Head Office,Corporate Services,Partnership Development,MHO_CS_PARTDEV,Client,
Minamas Head Office,General Accounting,Asset Management,MHO_GA_AM,Client,
Minamas Head Office,General Accounting,General Ledger,MHO_GA_GL,Client,
Minamas Head Office,General Accounting,Holding & Consolidation,MHO_GA_HCONSOL,Client,
Minamas Head Office,General Accounting,Tax Compliance,MHO_GA_TAX,Client,
Minamas Head Office,Group Compliance,Group Compliance,MHO_GCO,Client,Client left Unit blank - unit mirrors department so a leaf folder exists
Minamas Head Office,Group Corporate Assurance,Data Intelligence & Investigations,MHO_GCA_DIINVESTN,Client,
Minamas Head Office,Group Corporate Assurance,Estate & Other Operations,MHO_GCA_EOOPS,Client,
Minamas Head Office,Group Corporate Assurance,Practice Management,MHO_GCA_PM,Client,
Minamas Head Office,Group Corporate Assurance,Project & Mill Operations,MHO_PMOPS,Client,Missing GCA segment in code - confirm
Minamas Head Office,Group Integrity & Governance,Group Integrity & Governance,MHO_GIG,Client,
Minamas Head Office,Human Resource Management,HR Business Partner and Industrial Relations,MHO_HRM_HRBP_IR,Client,
Minamas Head Office,Human Resource Management,"HR Rewards, Services, and Performance",MHO_HRM_HRRSP,Client,
Minamas Head Office,Human Resource Management,Organisation Development and Talent Management,MHO_HRM_ODTM,Client,
Minamas Head Office,Information Technology Services,Business Application & Development,MHO_ITS_BADEV,Client,
Minamas Head Office,Information Technology Services,Infrastructure & IT Security,MHO_ITS_INFRA_ITS,Client,
Minamas Head Office,Information Technology Services,SAP Strategic Project & Data,MHO_ITS_SAPSTRATPD,Client,
Minamas Head Office,Legal & Corporate Secretary,Corporate Secretary,MHO_LCS_COSEC,Client,
Minamas Head Office,Legal & Corporate Secretary,Legal,MHO_LCS_LEGAL,Client,
Minamas Head Office,Performance Monitoring Unit & Mechanisation,Mechanisation,MHO_PMUM_MEC,Client,
Minamas Head Office,Performance Monitoring Unit & Mechanisation,Performance Monitoring Unit,MHO_PMUM_PMU,Client,
