Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Year,,,True,,,,,,,,
,,,True,,2024,,,,,,
,,,True,,2025,,,,,,
,,,True,,2026,,,,,,
