Group,People,Members,Segment,Roles,Mappings
MHO_LCS_COSEC_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_LCS_LEGAL_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_PMUM_MEC_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_PMUM_PMU_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_PNE_ENGINEERING_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_PNE_PROD_OPS_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_POP_ER_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_POP_MILLR_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_POP_MR_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_POP_TFO_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_SC_LOGS_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_SC_PROC_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_SUS_ESG_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_SUS_HMS_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_SUS_HSE_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_SUS_QM_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_TAX_TAX_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_TREAS_AP_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_TREAS_FO_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_TREAS_INSURM_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_TREAS_PAYMENT_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_UPPROD_UPPROD_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_VCVT_VCVT_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_CDS_UPSUPPORT_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_EMS_ES_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_FIN_REPORTING_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_FIN_TAX_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_GCA_GCA_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_HR_HRMIS_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_HR_HROPS_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_HR_MA_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_HR_ST_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_HR_TRAVEL_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_IT_IT_AD_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_IT_IT_SAP_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_Land_LM_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_Land_SURVEYING_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_LGL_LGL_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_PMU_PMU_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_PROC_CO_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_SUS_CERT_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_SUS_ESH_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
NBPOLHO_TF_TF_APR_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
